Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.431426594108343,10.0,0.01,7.74336028277874,0.13938482224941254,0.01,3.095371657460928,10.0,10.0,4.991746774322819,4.353053190186619,0.01,0.43530342638492586,0.01,10.0,6.120440713018179,7.321540241241455,1.441552975475788,8.885736939013004,2.8914544573426246,0.44957012027502063,0.01,0.01,8.794694061279296,6.553603042662144,3.981025604382157,7.415407637953758,3.1762798205018044,3.565799655020237,0.01,2.2273986425995824,2.7975739607214924,10.0,9.067124231159687,8.20864671498537,10.0,9.284814050197602,5.869925574138761,3.820321505218744,7.547354683279991,0.01,0.40053120702505113,9.80886726886034,10.0,6.031671637073159,6.487124875783921,10.0,6.005378259271383,6.070036804154515,10.0,8.010669876933099,2.113186789751053,9.221802893280984,1.4200875839591027,4.073866519033909,1.6260916888713837,8.60252316236496,3.938128836452961,6.011389182209968,2.0764987087249756,4.940287939012051,3.223030864447355,0.01,10.0,4.395875824540854,10.0,6.622878337800502,10.0,6.646580389887094,7.9945596686005596,2.1133380341529846,10.0,0.5537039750814438,5.323873365968466,10.0,2.635330398976803,0.01,7.073753828257322,5.823874779865146,6.425415671169758,10.0,0.01,2.026747339069843,2.236205949485302,2.632294792830944,5.8781390681117776
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.886654230952263,0.01,10.0,6.846006107628345,4.1715346012264485,0.01,10.0,4.341818976327777,5.942787564769387,9.705444679558276,2.9604449783265587,5.035328077615704,10.0,6.907512412518263,4.488692883960902,6.910238235592842,7.222280892282725,5.952051582112908,0.01,6.29467441290617,8.32159502208233,8.656784473359584,5.815506096631289,3.919755470007658,7.402059575170279,10.0,0.01,4.633121425658464,0.01,5.671659496054053,2.5335019792616364,7.729739057123661,0.8599721026420594,9.017779851853847,3.513486062288284,10.0,2.3957405096292494,9.645437569916249,4.496591049730777,2.0686152431368825,0.5011507135629654,10.0,0.01,0.01,3.868957149684429,6.788678375929594,10.0,8.302149993777276,10.0,6.849256820231676,8.906551800966263,8.486272487342358,7.409243386536836,5.495025089010596,5.214667297173292,5.746050454452634,8.189757539629936,2.566873699277639,4.987493162751198,9.029614428579807,8.601089913249016,6.709116675108671,4.989887599069625,3.240730032175779,10.0,0.01,6.791174355149269,3.8187368628382683,0.977081417143345,2.0845587253570557,10.0,0.01,1.3667834594845771,7.5436658680439,7.400641212314367,10.0,0.01,9.871598861813546,0.45391929000616077,3.6271383406221864,5.733952018767595,2.1168952548503874,2.1102038809657095
Action Results,Dose,0.1831,0.5226,0.9924,0.2138,0.2968,0.3197,0.3649,0.3031,0.1122,0.0505,0.2588,0.0419,0.9924,0.0776,0.9571,0.3197,0.2288,0.0682,0.1225,0.1131,0.217,0.4355,0.3057,0.5791,0.0639,0.0915,0.0916,0.3952,0.0669,0.2302,0.4079,0.9924,0.4231,0.0622,0.0916,0.2063,0.1181,0.216,0.1589,0.9924,0.3254,0.5594,0.0602,0.098,0.0703,0.1046,0.0536,0.1712,0.1501,0.1372,0.3276,0.4637,0.0896,0.1121,0.0931,0.255,0.1225,0.1582,0.1198,0.0419,0.0716,0.2129,0.0639,0.2721,0.1583,0.2924,0.08,0.2195,0.1314,0.2471,0.2304,0.2614,0.3407,0.0471,0.1744,0.0639,0.1484,0.0419,0.2474,0.0799,0.3632,0.1024,0.5916,0.1036,0.1225,0.446,0.3831,0.0908,0.0962,0.2591,0.0424,0.873,0.3783,0.2962,0.3986,0.201
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09681226732520759,37.093,0.03709300000000001,29.252633905153214,0.038296278846919544,37.000093,25.359009554639265,15.52767802453786,0.13,37.0464232450012,16.105213607081513,21.988406989646734,35.914193636231005,10.953739419808267,18.723713887178107,37.05692009863107,25.62588625056112,16.621570113327266,25.650518825226335,26.74932982789937,22.026771855936317,0.03709300000000001,23.29038832775283,30.871692236474516,32.09105105972723,21.55439609565652,14.572058530061305,27.4171598304607,37.033161936791686,0.03709300000000001,17.163264082312494,0.06301743783470988,21.078140135399998,9.45828157861784,28.67637492580691,3.2748967797756197,33.45213422252608,13.054488738306143,37.03552898999853,8.934430284182726,35.68821200869012,16.64111182422921,7.745098865206867,1.947257640182972,37.05609454622478,0.09733026134479046,0.13,14.370991471643611,25.174561333218136,37.093,30.792454206831398,37.01965263714469,25.428013001764718,32.96744847810599,31.437095161793742,27.4293231828928,20.411596294749202,19.330893597720195,21.3162926008693,30.321414334621906,9.543377365160078,18.483698889218793,33.40966638574529,31.91703267902136,24.864613343070314,18.555584116557615,12.052293887591928,37.093,0.09881319762594998,25.20169451897028,14.148980436219215,3.7082012434303766,7.718016730789364,37.04951202230351,0.13,5.08160737280342,27.91165671176243,27.44815839616595,37.05416203545275,0.09675636574187875,36.61791578871012,1.679594373022795,13.43926061055544,21.236419184770316,7.856992784519761,7.862421052906566
Action Results,Reward,-86.67557562124887,-427.5034376860689,-892.4370929999999,-132.25876078090104,-221.12915375382448,-256.700093,-294.8478154659621,-220.30086140334382,-24.64415370404299,-29.34075155130312,-158.89681226732517,-37.093,-892.4370929999999,-29.252633905153214,-857.1382962788468,-256.700093,-154.15900955463925,-15.52767802453786,-22.62999999999999,-50.1464232450012,-133.1052136070815,-357.4884069896467,-241.61419363623102,-490.0537394198082,-18.723713887178107,-37.05692009863107,-25.62588625056112,-311.82157011332725,-25.650518825226335,-156.94932982789933,-329.92677185593624,-892.4370929999999,-346.39038832775276,-30.871692236474516,-32.09105105972723,-127.85439609565651,-32.67205853006129,-143.4171598304607,-95.93316193679169,-892.4370929999999,-242.56326408231251,-459.46301743783476,-21.078140135399998,-9.45828157861784,-28.67637492580691,-7.874896779775613,-33.45213422252608,-84.25448873830612,-87.13552898999853,-46.134430284182706,-263.2882120086901,-380.34111182422924,-7.745098865206867,-14.047257640182972,-37.05609454622478,-155.09733026134478,-22.62999999999999,-72.57099147164361,-44.97456133321813,-37.093,-30.792454206831398,-149.91965263714468,-25.428013001764718,-205.06744847810597,-89.73709516179373,-219.82932318289278,-20.411596294749202,-138.83089359772018,-52.71629260086928,-177.4214143346219,-139.94337736516005,-179.8836988892188,-274.1096663857453,-31.91703267902136,-99.26461334307031,-18.555584116557615,-60.45229388759193,-37.093,-147.49881319762596,-25.20169451897028,-277.3489804362192,-6.108201243430376,-499.3180167307894,-40.649512022303504,-22.62999999999999,-351.0816073728034,-311.01165671176244,-27.44815839616595,-37.05416203545275,-159.19675636574183,-36.61791578871012,-774.6795943730227,-291.7392606105554,-217.4364191847703,-306.45699278451974,-108.86242105290658
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
