Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50
Action Results,t1,7.0883306029438975,1.9093468493223191,0.01,4.158557950630784,1.86184896171093,0.01,0.01,2.5869485652446746,8.077422844171524,9.966403497457504,6.427811614722013,10.0,0.01,7.773998290002346,0.10491300761699676,0.01,3.0485534764826294,10.0,10.0,5.012543566333479,4.366111045330762,0.01,0.33815450251102447,0.01,10.0,6.170035479217768,7.342571847140789,1.392442608177662,8.927663494944573,2.874701460301876,0.3699685242772103,0.01,0.01,8.624664985537528,6.285893156975508,3.680515854358673,7.157993834018707,2.8800614070892334,3.254696321338415,0.01,2.159602743983269,2.5029078865051266,10.0,8.867019551098346,8.039342004656792,10.0,9.177012518644332,5.595122720487415,3.5250433079898356,7.320603151172399
Action Results,t2,0.948555174767971,1.318980105817318,0.01,4.9792710649850775,6.559029084444046,10.0,8.092613081634045,4.633008290082216,3.3223030155897137,7.922711134552956,0.01,10.0,0.01,7.909634150564671,0.01,10.0,6.854410741180182,4.150862572938204,0.01,10.0,4.3377862884849305,5.941582745313644,9.757157760560512,2.9230387841165064,5.02757691598963,10.0,6.918410196900368,4.463302916064858,6.923581237047911,7.253021168112754,5.97114030778408,0.01,6.305605840235948,8.202236393690109,8.466218313276768,5.569459664151072,3.6440455593168735,7.224062033295631,10.0,0.01,4.603093531802297,0.01,5.569354008920491,2.2444645488262176,7.59871347129345,0.5099047276377677,8.950080713927745,3.2185829988121983,10.0,2.0830826038122177
Action Results,Dose,0.1831,0.5209,0.9924,0.213,0.2982,0.3197,0.3649,0.3073,0.1118,0.0503,0.2589,0.0419,0.9924,0.0765,0.9657,0.3197,0.2315,0.0685,0.1225,0.1124,0.2168,0.4355,0.3089,0.5826,0.0639,0.0908,0.0903,0.4013,0.0661,0.2311,0.41,0.9924,0.4227,0.0647,0.0997,0.2261,0.1266,0.2311,0.1711,0.9924,0.3315,0.5928,0.0606,0.1046,0.0753,0.112,0.0548,0.1851,0.1601,0.1487
Action Results,Cost,3.575575621248871,4.897983317222774,0.03709300000000001,18.461977529385656,24.285722807786883,37.000093,29.94276140204597,17.166189294960976,12.367641190132737,29.406718750372292,0.09677864801691471,37.093,0.03709300000000001,29.337944541186303,0.037975690970838076,37.000093,25.38967128969796,15.451191519871355,0.13,37.0466166551669,16.090414100115822,21.983949157660483,36.10462855094725,10.815336501231075,18.69503458916163,37.057381329956726,25.666403646709774,16.52717050569603,25.700277847580256,26.862913045598003,22.096659846076875,0.03709300000000001,23.33083460887301,30.428484041018905,31.383466565483914,20.641229554804504,13.549537912128807,26.755814094279767,37.03026867578845,0.03709300000000001,17.051530373187543,0.06027704334449768,20.699609833005816,8.38698211248222,28.190005724429074,1.9796474922597407,33.20064485795605,11.960791736905668,37.0327829027643,7.775487243411108
Action Results,Reward,-11.885575621248872,-46.98798331722278,-89.277093,-29.761977529385653,-44.10572280778688,-58.97009299999999,-56.43276140204597,-37.896189294960976,-13.547641190132737,-29.406718750372292,-15.986778648016916,-37.093,-89.277093,-29.337944541186303,-86.60797569097083,-58.97009299999999,-38.539671289697964,-15.451191519871355,-2.379999999999999,-38.2866166551669,-27.770414100115822,-55.53394915766049,-56.99462855094724,-59.07533650123108,-18.69503458916163,-37.057381329956726,-25.666403646709774,-46.65717050569603,-25.700277847580256,-39.972913045598006,-53.096659846076875,-89.277093,-55.600834608873,-30.428484041018905,-31.383466565483914,-33.2512295548045,-16.209537912128805,-39.86581409427977,-44.14026867578845,-89.277093,-40.20153037318754,-49.34027704334449,-20.699609833005816,-8.84698211248222,-28.190005724429074,-3.17964749225974,-33.20064485795605,-20.470791736905664,-43.0427829027643,-12.645487243411107
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,NPS,1e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Batches,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Source Type,surface source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,Pentaly Weighting,"max(0, (dose - dose_c)*100/dose_c)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,actions,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,total_timesteps,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,n_steps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,nminibatches,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,episode_length,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,mode,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,policy,MlpPolicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
