Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.430821765363216,10.0,0.01,7.7439185175299645,0.13928776383399966,0.01,3.0678295457363127,10.0,10.0,5.018920398777118,4.369543742462993,0.01,0.41761854946613314,0.01,10.0,6.190357829257846,7.346941708773374,1.4885759913921357,8.896390439867973,2.94776292681694,0.41143956065177917,0.01,0.01,8.65522737056017,6.391354419589042,3.8131327069550753,7.248931168168783,3.036535798758268,3.4017271673679352,0.01,2.2223539867997166,2.72493719920516,10.0,8.987026327252387,8.143631867468358,10.0,9.234289488196373,5.786674760356545,3.7449735091626644,7.470432465225458,0.01,0.4306255680322647,9.828961338102818,10.0,6.0472679717093705,6.511775480359793,10.0,6.019670483097434,6.081701900810003,10.0,7.954877365231514,2.2782015776634217,9.38308331400156,1.5759589332342148,4.041100223213434,1.5532070711255075,8.54663627177477,3.7748119753599165,5.894080540686845,1.9420683375000953,4.914002022948116,3.1853515073657035,0.01,10.0,4.367113486081362,10.0,6.563975788652897,10.0,6.621914005875587,7.907077584266663,2.1275425034761426,10.0,0.6140990206599236,5.43474105771631,10.0,2.665468376725912,0.01,7.225166742652655,5.944367964565754,6.577592697292566,10.0,0.01,2.1077768251299855,2.4678924256563186,2.8891637596488,6.082058054581284,10.0,1.5625303357839584,2.9308945612609385,0.01
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.888583490252495,0.01,10.0,6.882058843076229,4.2195888628065585,0.01,10.0,4.342347364127636,6.050006001517176,9.774155189990998,3.044625439047813,5.092329295482487,10.0,7.015464444160461,4.602957992404699,6.996089381277561,7.334470297843218,5.924696739539504,0.01,6.291936085373163,8.262515028715134,8.587581227719784,5.739221382662654,3.8441574592143297,7.343882880061865,10.0,0.01,4.632231301739812,0.01,5.670982841104269,2.5202914655208586,7.726153552532196,0.8413877978920937,9.019605502784252,3.4961411875486372,10.0,2.373883609473705,9.674960596263409,4.576683222427964,2.142055713832378,0.5684169590473175,10.0,0.01,0.01,3.9219060135632753,6.869151413589716,10.0,8.22446038901806,10.0,7.076152451336384,9.097129870057106,8.648238271474838,7.578001324534416,5.647395338788629,5.3602139272540805,5.9035312317311766,8.349780964553355,2.5796557864546776,5.153650303650648,9.257992880046368,8.830525289177894,6.919239808171987,5.227739573381841,3.416798165887594,10.0,0.01,6.880896523892879,3.817664977684617,1.1640001457929612,2.1757942312955856,10.0,0.01,1.4300342851877212,7.667577905654907,7.613076330423355,10.0,0.01,9.928730839192868,0.6084088966250419,3.677194878607988,5.90057005688548,2.306029356718063,2.2479261997342106,1.4962995785474777,0.9171246230602265,10.0,6.142062112540007
Action Results,Dose,0.18804,0.52434,0.99233,0.21373,0.29778,0.31887,0.36304,0.30575,0.11214,0.05189,0.26056,0.04426,0.99233,0.07911,0.95862,0.31887,0.22784,0.07054,0.12509,0.11813,0.21693,0.42834,0.30532,0.57968,0.06485,0.0925,0.09073,0.38285,0.0678,0.22536,0.4075,0.99233,0.41952,0.06385,0.09877,0.21463,0.12505,0.2208,0.16667,0.99233,0.33137,0.56828,0.06158,0.10286,0.07341,0.10761,0.05449,0.17813,0.15546,0.14219,0.32567,0.4603,0.09154,0.11268,0.09518,0.25616,0.12509,0.16101,0.12043,0.04426,0.07342,0.21102,0.06133,0.26009,0.16102,0.29243,0.08115,0.22346,0.13624,0.25537,0.23632,0.25887,0.33417,0.0481,0.17191,0.0641,0.15174,0.04426,0.25025,0.08277,0.36562,0.10232,0.58571,0.10731,0.12509,0.44382,0.37503,0.08865,0.09703,0.25253,0.04459,0.84628,0.37306,0.28152,0.37595,0.19368,0.09716,0.59598,0.18509,0.42504
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09680664241787791,37.093,0.03709300000000001,29.25977735614726,0.0382953762036562,37.000093,25.492148534157398,15.705478792384268,0.13,37.04667595970863,16.107322004077158,22.385115205613552,36.16825805547673,11.265207124476909,18.934618393285202,37.0575703278121,26.0255450012853,17.044788328617333,25.96826714181775,27.164954297239305,21.925204324210227,0.03709300000000001,23.280256515880705,30.651799220792206,31.833490138665383,21.270581250026503,14.290797658956992,27.200606439157355,37.031636062656524,0.03709300000000001,17.159923708514544,0.06234191595260799,21.075636512085797,9.408657767270624,28.662503920736583,3.206134852200747,33.45841925254196,12.989538469201275,37.03482825363521,8.852844376979306,35.79744720617462,16.93773274076617,8.017015481624156,2.196142748475075,37.0562395921369,0.09755951196734608,0.13,14.567035185676927,25.472420057959482,37.093,30.504483798863472,37.02118727467227,26.269026744764833,33.674036937290374,32.03606383653279,28.053049726538806,20.97484647084543,19.867897282210944,21.89788050643374,30.91225080438617,9.590426628695726,19.098129892525897,34.254666656171565,32.76594356995821,25.64180144565691,19.435636421512815,12.70319818861857,37.093,0.09858380025464297,25.532852959937337,14.145146562715412,4.399800539433957,8.056149776685803,37.050543091836765,0.13,5.3159157110981194,28.37013125092316,28.23557647327308,37.055282622070465,0.09817161208482086,36.82930410501362,2.2512059175126553,13.625223375323266,21.855060610034883,8.559177842821569,8.373890078924186,5.6293084406256675,3.407892637445629,37.027257319419725,22.725722816398026
Action Results,Reward,-3.575575621248871,-1004.9034376860689,-1000.037093,-18.458760780901056,-24.329153753824503,-37.000093,-29.94781546596217,-17.200861403343843,-12.444153704043,-29.34075155130312,-0.09680664241787791,-37.093,-1000.037093,-29.25977735614726,-1000.0382953762037,-37.000093,-25.492148534157398,-15.705478792384268,-0.13,-37.04667595970863,-16.107322004077158,-22.385115205613552,-36.16825805547673,-1011.2652071244769,-18.934618393285202,-37.0575703278121,-26.0255450012853,-17.044788328617333,-25.96826714181775,-27.164954297239305,-21.925204324210227,-1000.037093,-23.280256515880705,-30.651799220792206,-31.833490138665383,-21.270581250026503,-14.290797658956992,-27.200606439157355,-37.031636062656524,-1000.037093,-17.159923708514544,-1000.0623419159526,-21.075636512085797,-9.408657767270624,-28.662503920736583,-3.206134852200747,-33.45841925254196,-12.989538469201275,-37.03482825363521,-8.852844376979306,-35.79744720617462,-16.93773274076617,-8.017015481624156,-2.196142748475075,-37.0562395921369,-0.09755951196734608,-0.13,-14.567035185676927,-25.472420057959482,-37.093,-30.504483798863472,-37.02118727467227,-26.269026744764833,-33.674036937290374,-32.03606383653279,-28.053049726538806,-20.97484647084543,-19.867897282210944,-21.89788050643374,-30.91225080438617,-9.590426628695726,-19.098129892525897,-34.254666656171565,-32.76594356995821,-25.64180144565691,-19.435636421512815,-12.70319818861857,-37.093,-0.09858380025464297,-25.532852959937337,-14.145146562715412,-4.399800539433957,-1008.0561497766859,-37.050543091836765,-0.13,-5.3159157110981194,-28.37013125092316,-28.23557647327308,-37.055282622070465,-0.09817161208482086,-36.82930410501362,-1002.2512059175126,-13.625223375323266,-21.855060610034883,-8.559177842821569,-8.373890078924186,-5.6293084406256675,-1003.4078926374457,-37.027257319419725,-22.725722816398026
OpenMC Specs,Dose Constriant,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,NPS,1e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Batches,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Source Type,surface source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,Pentaly Weighting,">limit=1000, <limit=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,actions,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,total_timesteps,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,n_steps,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,nminibatches,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,episode_length,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,mode,max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,policy,MlpPolicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,check_freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPO Specs,seed,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
