Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100,Value101,Value102,Value103,Value104,Value105,Value106,Value107,Value108,Value109,Value110,Value111,Value112,Value113,Value114,Value115,Value116,Value117,Value118,Value119,Value120,Value121,Value122,Value123,Value124,Value125,Value126,Value127,Value128,Value129,Value130,Value131,Value132,Value133,Value134,Value135,Value136,Value137,Value138,Value139,Value140,Value141,Value142,Value143,Value144,Value145,Value146,Value147,Value148,Value149,Value150,Value151,Value152,Value153,Value154,Value155,Value156,Value157,Value158,Value159,Value160,Value161,Value162,Value163,Value164,Value165,Value166,Value167,Value168,Value169,Value170,Value171,Value172,Value173,Value174,Value175,Value176,Value177,Value178,Value179,Value180,Value181,Value182,Value183,Value184,Value185,Value186,Value187,Value188,Value189,Value190,Value191,Value192,Value193,Value194,Value195,Value196,Value197,Value198,Value199,Value200,Value201,Value202,Value203,Value204,Value205,Value206,Value207,Value208,Value209,Value210,Value211,Value212,Value213,Value214,Value215,Value216,Value217,Value218,Value219,Value220,Value221,Value222,Value223,Value224,Value225,Value226,Value227,Value228,Value229,Value230,Value231,Value232,Value233,Value234,Value235,Value236,Value237,Value238,Value239,Value240,Value241,Value242,Value243,Value244,Value245,Value246,Value247,Value248,Value249,Value250,Value251,Value252,Value253,Value254,Value255,Value256,Value257,Value258,Value259,Value260,Value261,Value262,Value263,Value264,Value265,Value266,Value267,Value268,Value269,Value270,Value271,Value272,Value273,Value274,Value275,Value276,Value277,Value278,Value279,Value280,Value281,Value282,Value283,Value284,Value285,Value286,Value287,Value288
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.431426594108343,10.0,0.01,7.74336028277874,0.13938482224941254,0.01,3.095371657460928,10.0,10.0,4.991746774322819,4.353053190186619,0.01,0.43530342638492586,0.01,10.0,6.120440713018179,7.321540241241455,1.441552975475788,8.885736939013004,2.8914544573426246,0.44957012027502063,0.01,0.01,8.841381540894508,6.676759304851293,4.090034039467573,7.521076266169548,3.303236693739891,3.6515142937004565,0.01,2.241504267156124,2.8811028498411178,10.0,9.201447421312333,8.337744232416153,10.0,9.404297127723694,5.991748995035887,3.9439725122600793,7.629781095981598,0.01,0.44560858875513076,9.862039501070976,10.0,6.147896037846803,6.586883509904146,10.0,6.116016665399075,6.196168904155493,10.0,7.97387253075838,2.2301850527524945,9.29236287266016,1.5459250104427338,4.014359959885478,1.5563995784521103,8.539904407262803,3.8771888048946854,5.948843667507171,2.0120459663867947,4.927278064144775,3.1714307701587674,0.01,10.0,4.329165580868721,10.0,6.566665438115597,10.0,6.579057058691978,7.950442152917385,2.106564488112926,10.0,0.5044858312606811,5.288664420954883,10.0,2.587451720833778,0.01,7.0183173958957195,5.758528117612004,6.356293109059334,10.0,0.01,2.023159154951572,2.1822527840733525,2.5683394004404545,5.83003121599555,10.0,1.394961363375187,2.7234147813916203,0.01,0.01,0.01,4.658788315206766,9.83462020099163,7.276753141582012,4.551124221049249,0.9846031466126443,0.01,1.5939733919501304,10.0,1.2259380033612253,3.4037911473214626,0.01,0.01,9.09678123384714,0.3282950347661972,6.741554728895426,2.5004180106520653,7.998957069814205,10.0,7.285315718352795,2.2673679530620574,3.0877354526519776,4.227299871072173,4.10392351552844,0.01,2.855850840359926,4.20008689455688,10.0,2.7299830459058283,0.01,0.39478153795003895,1.9412609067559243,0.10010415017604828,3.2308132523298263,0.01,7.932761741876602,0.01,2.4232315614819524,0.8487040969729424,5.473388133347035,10.0,7.119560785591602,0.01,1.7517790618538858,9.071512998342515,8.440739288330079,10.0,3.2033332163095474,4.980097008189186,10.0,5.779105692580342,7.809034889340401,10.0,10.0,3.756096522659063,0.01,10.0,0.01,0.48472461879253387,0.01,3.3042900454998017,0.01,0.01,7.774248379170895,1.307774026989937,0.01,0.01,3.6983874049782752,0.01,10.0,7.318414126634598,6.727409953474998,2.377011510431766,8.966984062194824,8.640955913066865,0.01,1.6135276854038239,2.70324642971158,8.00427861005068,1.8624330985546111,10.0,4.1352024506777525,4.8128510397113855,0.01,0.01,10.0,9.61520446896553,7.500424706488848,0.01,6.580070813000202,10.0,10.0,5.25359216902405,7.618801586031914,7.480177308768034,6.8578646512329575,1.069698368012905,1.5312956872582435,0.01,6.445730354785919,0.01,1.256056182384491,2.1490757763385773,6.130656408965588,3.174297566115856,7.384235213994979,10.0,8.57692564278841,9.923004392683506,3.3698212973773476,4.677486202120781,3.943812410533428,6.074521066695452,8.389186085760594,9.282031212747096,10.0,1.885746768116951,0.01,0.01,0.01,2.678012581467628,5.804349440187216,3.2642476435005663,9.472427669465542,10.0,0.01,0.7616435915231705,7.566674964725971,10.0,0.01,3.7537706933915613,0.01,8.315206732451916,6.337285439074039,10.0,7.406339970380068,10.0,9.071391228735447,6.6290181757509705,6.582233488857746,3.867117803394794,10.0,8.573504482507706,4.641741240099073,8.542504143714904,7.59867298066616,7.724116218984127,8.172430528402328,6.685223632305861,10.0,0.01,4.543266210965812,3.9191499713808295,0.01,0.01,0.01,2.697889013588428,7.346101528257131,4.528520588874817,2.2079512324929236,0.01,3.808246589824557,9.41767094373703,10.0,1.08457599401474,2.252624601125717,10.0,0.01,0.09819870889186859,7.5382270240783695,9.662667522728443,9.533205589652061,9.03858756840229,10.0,8.218639861345292,10.0,10.0,7.478473278582096,0.01,0.18862261593341828,0.01,3.0586816412210465,3.3131854790449142,8.429754121601581,1.2366942194104196,5.815610598176717,6.637101266086101
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.886654230952263,0.01,10.0,6.846006107628345,4.1715346012264485,0.01,10.0,4.341818976327777,5.942787564769387,9.705444679558276,2.9604449783265587,5.035328077615704,10.0,6.907512412518263,4.488692883960902,6.910238235592842,7.222280892282725,5.952051582112908,0.01,6.295133802890778,8.237963120043277,8.638587211370469,5.776564533561468,3.8766444143652916,7.4058631634712215,10.0,0.01,4.641758061572909,0.01,5.701411696374416,2.5393929189443587,7.752235471010208,0.8429568096995353,9.054264586567879,3.4955939686298367,10.0,2.326365774273872,9.639960319399833,4.40904473118484,1.9973472732305528,0.5299806356430053,10.0,0.01,0.01,3.912383421882987,6.784139406383037,10.0,8.320963249206542,10.0,6.770604818761349,8.899975051283837,8.457397608757018,7.4152897387743,5.467355848625302,5.326540462747216,5.789464817643165,8.270093623697758,2.5967726036906242,5.082182671781629,9.059784114062786,8.554542662203312,6.812731297165155,5.021984813325107,3.3623150496184824,10.0,0.01,6.893063957393169,3.817337703257799,0.9939636269211769,2.1986937651038168,10.0,0.01,1.4733783107995988,7.612597588300705,7.355069457888603,10.0,0.01,9.889327206611632,0.5446980854868889,3.6287543930113313,5.752627576291561,2.111762770116329,2.1638113874197002,1.5189814752340318,0.9644873434305191,10.0,5.890848435908556,0.01,5.982103293985128,4.120344846695661,0.01,10.0,2.040222381651401,5.850214677229523,0.01,0.01,10.0,0.01,2.3070639517903326,10.0,8.684571166336536,0.01,0.01,4.430796497128903,10.0,9.090458443760872,10.0,10.0,7.311949768215418,5.431791456937789,7.378386104702949,6.124528852179647,7.428119015395641,6.891694868057966,7.248610071539879,8.125055303573609,10.0,0.01,8.124769189655781,7.034461098313331,0.01,0.01,6.053749374896288,2.4806067803502083,0.2971565514802933,0.01,8.524106810390949,6.592718179523945,4.193705750331283,0.01,0.01,2.2635767203569412,0.01,0.01,0.01,10.0,4.86005702637136,8.256238088309765,8.897809993624687,9.893269683718682,10.0,1.9886203521490098,0.01,3.9788265316188336,2.086164655089378,10.0,9.358191105425357,9.002797724306584,0.01,2.972112084627151,9.6741361951828,10.0,0.01,10.0,9.436044161319733,4.273255244418978,10.0,4.153411100655794,0.01,3.307299154102802,0.01,0.018391980230808257,10.0,4.462884909883141,10.0,10.0,6.364799713492394,0.01,3.802833424657583,6.00652100302279,10.0,10.0,2.283705325722694,6.268515681326389,0.9484896752238274,0.03486571103334427,10.0,0.01,8.38963118493557,3.1000538328289986,6.392897082716226,10.0,9.956226059198379,7.443480891436338,10.0,3.4261972016096114,10.0,4.168131453320384,2.5720262804627416,10.0,8.336887379288674,0.01,1.0590031856298447,6.476253291219473,10.0,5.774635720849037,0.01,2.4890175172686577,0.7749572670459748,5.185121513456106,8.082620828449725,9.977236526608467,6.12791748598218,1.5173692932724954,7.360904425233603,0.01,10.0,10.0,0.01,8.49913391828537,9.739994795918465,3.9065120576322077,2.3547690561413765,10.0,6.804472548961639,4.930569369718432,3.2417619477212427,3.9965120039880273,8.650902614295482,4.536920235529542,7.300434204041958,10.0,0.01,0.644766800403595,10.0,8.485130115747452,6.4290775422751905,10.0,5.094141009151936,8.551739281713962,10.0,4.621039885878563,9.078368418812751,1.2723631870746612,8.856627452969551,3.419932319074869,3.891387840732932,10.0,5.910409949198365,8.061794057488441,2.9498074057698247,10.0,10.0,5.55325634226203,7.205508989691734,6.418150580823421,10.0,10.0,3.608748301565647,9.987569377422332,7.485706958919764,10.0,3.7007808178663253,1.1244366347789765,10.0,3.406751280128956,10.0,3.1727824425697326,3.5020776791870594,6.4428779985010625,8.758780065774918,10.0,10.0,1.0359756299853324,10.0,10.0,4.1739523531496525,9.246018967926503,3.027575312256813,10.0,6.518948127031326,9.069104699194432,7.335582450330257,4.41687244772911,2.519903678447008
Action Results,Dose,0.1831,0.5226,0.9924,0.2138,0.2968,0.3197,0.3649,0.3031,0.1122,0.0505,0.2588,0.0419,0.9924,0.0776,0.9571,0.3197,0.2288,0.0682,0.1225,0.1131,0.217,0.4355,0.3057,0.5791,0.0639,0.0915,0.0916,0.3952,0.0669,0.2302,0.4079,0.9924,0.4231,0.0623,0.0885,0.201,0.116,0.2108,0.1562,0.9924,0.3255,0.5496,0.0599,0.0968,0.0705,0.1049,0.0518,0.167,0.1452,0.1365,0.3278,0.4638,0.0893,0.1114,0.091,0.2508,0.1225,0.1564,0.118,0.0419,0.0713,0.205,0.0638,0.2626,0.1613,0.2959,0.0815,0.2211,0.1326,0.248,0.2296,0.2618,0.3399,0.0473,0.1761,0.0639,0.1485,0.0419,0.2511,0.08,0.3635,0.1022,0.5848,0.1037,0.1225,0.4432,0.3809,0.0936,0.0988,0.2629,0.0424,0.8553,0.3786,0.2974,0.4037,0.2026,0.0937,0.6126,0.1903,0.437,0.9924,0.4336,0.2061,0.1256,0.0722,0.2678,0.3812,0.9924,0.7114,0.0419,0.7623,0.333,0.3197,0.3496,0.1505,0.9139,0.128,0.1965,0.0674,0.0419,0.0723,0.2554,0.2583,0.1698,0.1939,0.3867,0.2386,0.1737,0.0493,0.1897,0.9924,0.3416,0.2823,0.9667,0.5098,0.4317,0.1257,0.9087,0.6021,0.3104,0.135,0.068,0.2241,0.9924,0.4661,0.1515,0.169,0.1225,0.1729,0.1783,0.0486,0.1059,0.066,0.0419,0.0866,0.4552,0.5193,0.086,0.3197,0.3094,0.3416,0.5026,0.5783,0.327,0.066,0.7515,0.3197,0.3311,0.2547,0.3197,0.0684,0.2146,0.1445,0.6075,0.1536,0.0578,0.4958,0.2398,0.191,0.0833,0.6746,0.0717,0.1946,0.1186,0.3197,0.6293,0.057,0.1127,0.2054,0.3197,0.2511,0.048,0.0771,0.1433,0.0676,0.0693,0.0946,0.2682,0.4264,0.3197,0.1406,0.6068,0.2606,0.2383,0.2757,0.4216,0.0922,0.0419,0.0787,0.124,0.3294,0.3218,0.2197,0.1068,0.06,0.0674,0.0938,0.277,0.9924,0.3197,0.3197,0.5748,0.1085,0.1741,0.0778,0.0832,0.3197,0.3654,0.1065,0.0758,0.5177,0.1697,0.4923,0.073,0.088,0.1225,0.1856,0.0419,0.0566,0.1099,0.0834,0.2264,0.0473,0.0583,0.1969,0.0617,0.1608,0.0722,0.1069,0.1362,0.0419,0.4363,0.146,0.2746,0.3197,0.3197,0.4494,0.2391,0.0941,0.1259,0.2048,0.5413,0.151,0.0574,0.0419,0.4556,0.4967,0.0419,0.5529,0.3146,0.1264,0.0781,0.0612,0.0559,0.0419,0.0608,0.1016,0.0419,0.0691,0.5088,0.3268,0.5754,0.1804,0.2253,0.0637,0.3202,0.1574,0.16
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09681226732520759,37.093,0.03709300000000001,29.252633905153214,0.038296278846919544,37.000093,25.359009554639265,15.52767802453786,0.13,37.0464232450012,16.105213607081513,21.988406989646734,35.914193636231005,10.953739419808267,18.723713887178107,37.05692009863107,25.62588625056112,16.621570113327266,25.650518825226335,26.74932982789937,22.026771855936317,0.03709300000000001,23.29208807069588,30.562688392490447,32.02486654360585,21.411326090744485,14.413530342426956,27.4324138060953,37.03395908293142,0.03709300000000001,17.195350817504316,0.0637942565035224,21.18822327658534,9.481327261112332,28.76081226409924,3.211940195888281,33.58823893358898,12.98942094958423,37.03667894436402,8.678510329005956,35.667946181779385,16.317609665259333,7.481901878313006,2.05392835187912,37.057175433151976,0.09825801664210856,0.13,14.532697615955264,25.158940174425886,37.093,30.86172103660026,37.020740720990595,25.137656804132735,32.94428479234732,31.329704700027907,27.451046549544518,20.308637750901163,19.74425756805022,21.47634407138753,30.6180584351691,9.653882319651856,18.833570191754504,33.52129422203231,31.744807850152256,25.247367039413156,18.674343809302897,12.50163567216286,37.093,0.0981852306458354,25.578275754376858,14.143740551793307,3.770665419608355,8.139858649114846,37.04918457911488,0.13,5.47556305096227,28.16670407671261,27.279027345969663,37.05355431149379,0.0961135259142518,36.68351066446304,2.0154759163014893,13.445206634282975,21.305016983170656,7.837407805854514,8.06032142376165,5.713231458365918,3.5815763113723103,37.02532775746694,21.796232212861657,0.03709300000000001,22.133875187744977,15.28860266410537,0.12846196786922215,37.06767380421671,7.591148267365943,21.654951115012736,0.03709300000000001,0.05182395254513622,37.093,0.048401223431259396,8.567791879294322,37.000093,32.133006315445186,0.1216000654747784,0.040053143823325636,16.45664349835567,37.02325388749907,33.7090865426645,37.093,37.06775343618068,27.075300664360523,20.126344330379485,27.339342476201885,22.698923241759108,27.484133356963873,25.525830424629824,26.858918072816934,30.155704623222352,37.025388842326926,0.03709300000000001,30.065317470029328,26.045559790192154,0.037930968596637256,0.06704656324666738,22.398965687116267,9.252019771495224,1.0995722404770851,0.059536053521782165,31.547088146548358,24.443959773878724,15.609711276225747,0.1032119153060019,0.03709300000000001,8.391525410595923,0.12136507088458538,0.11549887538146973,0.13,37.02979099891168,18.028525899750193,30.64108092674613,32.975642659352346,36.67772185422999,37.093,7.450895302951337,0.0719316976607293,14.721751166989685,7.811809223830699,37.000093,34.6298150290286,33.31044457993436,0.06772989742314817,10.996907713120459,35.79439692217636,37.072300509926286,0.04916229845100642,37.000093,34.913456396883014,15.845439407216517,37.000093,15.46062107242644,0.10506125137770175,12.299571782747686,0.05910620704701543,0.15144327863240242,37.080360889991525,16.512767166567624,37.01500580747425,37.02514019179632,23.624198730995328,0.05432062781655789,14.163483671233058,22.26258509397563,37.044759514669316,37.000093,8.449802705173967,23.28650802090764,3.5988331998895413,0.1987570805937201,37.000093,0.09819465856090188,31.134635384261614,11.563199181467295,23.702577613221962,37.070854854750095,36.907602068005545,27.604657439570918,37.00994819482252,12.691170695847063,37.000093,15.48203166958493,9.516590237712144,37.01168132249617,30.866469708088044,0.09401510460337997,3.947832754195303,24.030810565002206,37.093,21.445917575619372,0.1292839408519566,9.240704151959644,2.91084250974983,19.221627055205555,29.962190111184253,36.9937945790489,22.759617588412617,5.707266385108233,27.25288381830782,0.03709300000000001,37.000093,37.000093,0.061905517007648944,31.50077594744961,36.06833824798287,14.542188190565199,8.805645507723094,37.000093,25.183631716559233,18.31347674513015,12.087519206568599,14.787187414755701,32.04324974034183,16.786697871459307,27.088937977567046,37.058936754583385,0.13,2.4545161232178363,37.093,31.47934536669281,23.849236775452688,37.06121477144638,18.884285929433737,31.734435342341662,37.07973359168732,17.141015771283605,33.669408438143726,4.778411450896442,32.841355856823895,12.729753184491157,14.460307590492294,37.093,21.868609812033952,29.870890388469217,10.950735496082194,37.000093,37.000093,20.54714146636951,26.685473629685788,23.815475893259453,37.04211524147654,37.02053394646219,13.352461715792893,36.989423389748,27.784700087779882,37.093,13.702975582849742,4.181364957472682,37.093,12.605072736477137,37.00091324799269,11.80940054883194,13.047550220953495,23.927307406437695,32.49154510775334,37.093,37.07643335071051,3.9261098309457303,37.093,37.069549801490815,15.443716706653715,34.21202437165624,11.202121655350208,37.028445739263354,24.150920694971024,33.63408410035029,27.153156322462472,16.39651323516075,9.38536865202853
Action Results,Reward,-11.885575621248872,-47.16343768606889,-89.277093,-29.838760780901055,-44.009153753824506,-58.97009299999999,-56.43781546596217,-37.51086140334384,-13.664153704042999,-29.34075155130312,-15.976812267325203,-37.093,-89.277093,-29.252633905153214,-85.74829627884691,-58.97009299999999,-38.23900955463927,-15.52767802453786,-2.379999999999999,-38.3564232450012,-27.805213607081512,-55.53840698964674,-56.48419363623101,-58.863739419808255,-18.723713887178107,-37.05692009863107,-25.62588625056112,-46.14157011332726,-25.650518825226335,-39.76932982789937,-52.81677185593631,-89.277093,-55.60208807069587,-30.562688392490447,-32.02486654360585,-31.511326090744483,-16.013530342426957,-38.512413806095296,-42.653959082931415,-89.277093,-39.74535081750432,-45.02379425650352,-21.18822327658534,-9.481327261112332,-28.76081226409924,-3.70194019588828,-33.58823893358898,-19.689420949584232,-41.556678944364016,-12.328510329005956,-58.44794618177938,-52.69760966525933,-7.481901878313006,-3.1939283518791193,-37.057175433151976,-15.178258016642111,-2.379999999999999,-20.172697615955265,-26.958940174425884,-37.093,-30.86172103660026,-47.520740720990595,-25.137656804132735,-49.204284792347316,-37.459704700027906,-47.04104654954452,-20.308637750901163,-31.854257568050215,-24.736344071387528,-45.4180584351691,-22.613882319651854,-35.013570191754496,-57.511294222032305,-31.744807850152256,-32.857367039413155,-18.674343809302897,-17.35163567216286,-37.093,-15.208185230645833,-25.578275754376858,-40.49374055179331,-3.990665419608354,-56.619858649114846,-37.41918457911488,-2.379999999999999,-39.795563050962265,-56.25670407671261,-27.279027345969663,-37.05355431149379,-16.386113525914254,-36.68351066446304,-77.54547591630148,-41.30520663428297,-41.045016983170655,-38.20740780585451,-18.320321423761648,-5.713231458365918,-54.84157631137231,-46.05532775746694,-55.496232212861656,-89.277093,-55.493875187744976,-25.89860266410537,-2.6884619678692205,-37.06767380421671,-24.37114826736594,-49.77495111501274,-89.277093,-61.19182395254514,-37.093,-66.27840122343126,-31.867791879294323,-58.97009299999999,-57.09300631544518,-5.171600065474777,-81.43005314382333,-19.256643498355672,-46.673253887499065,-33.7090865426645,-37.093,-37.06775343618068,-42.61530066436052,-35.95634433037948,-34.31934247620188,-32.088923241759105,-56.15413335696387,-39.38583042462982,-34.22891807281693,-30.155704623222352,-45.995388842326925,-89.277093,-54.225317470029324,-44.27555979019215,-86.70793096859663,-41.047046563246674,-55.56896568711627,-11.822019771495224,-81.96957224047708,-50.269536053521776,-52.58708814654835,-27.943959773878724,-15.609711276225747,-12.513211915306,-89.277093,-45.00152541059592,-5.271365070884584,-7.01549887538147,-2.379999999999999,-44.31979099891168,-25.85852589975019,-30.64108092674613,-33.56564265935234,-36.67772185422999,-37.093,-7.450895302951337,-35.591931697660726,-56.651751166989676,-7.811809223830699,-58.97009299999999,-55.5698150290286,-57.47044457993436,-40.327729897423154,-58.826907713120455,-58.494396922176364,-37.072300509926286,-65.199162298451,-58.97009299999999,-58.02345639688301,-31.315439407216516,-58.97009299999999,-15.46062107242644,-11.565061251377703,-16.749571782747683,-50.80910620704702,-5.5114432786324,-37.080360889991525,-56.092767166567626,-50.99500580747426,-46.12514019179632,-23.624198730995328,-57.51432062781656,-14.163483671233058,-31.72258509397563,-38.904759514669315,-58.97009299999999,-61.379802705173965,-23.28650802090764,-4.86883319988954,-10.738757080593718,-58.97009299999999,-15.208194658560899,-31.134635384261614,-11.563199181467295,-28.03257761322196,-37.070854854750095,-36.907602068005545,-27.604657439570918,-53.82994819482252,-45.331170695847064,-58.97009299999999,-19.54203166958493,-60.196590237712144,-53.071681322496175,-44.696469708088046,-17.664015104603376,-36.1078327541953,-24.030810565002206,-37.093,-21.445917575619372,-2.529283940851956,-32.180704151959645,-25.090842509749823,-31.191627055205558,-30.642190111184252,-36.9937945790489,-22.759617588412617,-5.707266385108233,-44.952883818307825,-89.277093,-58.97009299999999,-58.97009299999999,-47.54190551700765,-32.35077594744961,-43.47833824798287,-14.542188190565199,-8.805645507723094,-58.97009299999999,-51.72363171655923,-18.963476745130148,-12.087519206568599,-56.5571874147557,-39.01324974034183,-56.0166978714593,-27.088937977567046,-37.058936754583385,-2.379999999999999,-11.014516123217835,-37.093,-31.47934536669281,-24.839236775452687,-37.06121477144638,-31.524285929433734,-31.734435342341662,-37.07973359168732,-26.831015771283603,-33.669408438143726,-10.85841145089644,-32.841355856823895,-13.419753184491157,-18.080307590492293,-37.093,-55.498609812033955,-34.470890388469215,-28.41073549608219,-58.97009299999999,-58.97009299999999,-55.487141466369515,-40.595473629685785,-23.815475893259453,-39.63211524147654,-47.500533946462184,-57.482461715792894,-42.089423389748,-27.784700087779882,-37.093,-49.262975582849734,-43.851364957472676,-37.093,-57.89507273647713,-58.46091324799269,-14.44940054883194,-13.047550220953495,-23.927307406437695,-32.49154510775334,-37.093,-37.07643335071051,-4.0861098309457295,-37.093,-37.069549801490815,-56.32371670665373,-56.892024371656234,-58.7421216553502,-45.06844573926335,-36.68092069497102,-33.63408410035029,-49.173156322462475,-22.13651323516075,-15.385368652028529
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
