Catergory,Key,Value1,Value2,Value3
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01
Action Results,t2,0.948555174767971,1.3205226200819016,0.01
Action Results,Dose,0.18804,0.52434,0.99233
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001
Action Results,Reward,-30.157617221248874,-254.2438732860689,-935.7644219000001
OpenMC Specs,Dose Constriant,0.025,,
OpenMC Specs,Layers,water,ss-316L,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,
OpenMC Specs,Tally Name,fast neutron current,,
OpenMC Specs,Tally Units,particle/source/cm2,,
OpenMC Specs,NPS,1e4,,
OpenMC Specs,Batches,10,,
OpenMC Specs,Source Type,surface source,,
PPO Specs,Pentaly Weighting,1000*penalty**2,,
PPO Specs,actions,3,,
PPO Specs,total_timesteps,3,,
PPO Specs,n_steps,3,,
PPO Specs,nminibatches,1,,
PPO Specs,episode_length,10,,
PPO Specs,mode,max,,
PPO Specs,policy,MlpPolicy,,
PPO Specs,check_freq,1,,
PPO Specs,seed,1,,
