Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.431426594108343,10.0,0.01,7.74336028277874,0.13938482224941254,0.01,3.095371657460928,10.0,10.0,4.991746774322819,4.353053190186619,0.01,0.43530342638492586,0.01,10.0,6.120440713018179,7.321540241241455,1.441552975475788,8.885736939013004,2.8914544573426246,0.44957012027502063,0.01,0.01,8.841381540894508,6.676759304851293,4.090034039467573,7.521076266169548,3.303236693739891,3.6515142937004565,0.01,2.241504267156124,2.8811028498411178,10.0,9.201447421312333,8.337744232416153,10.0,9.404297127723694,5.991748995035887,3.9439725122600793,7.629781095981598,0.01,0.44560858875513076,9.862039501070976,10.0,6.147896037846803,6.586883509904146,10.0,6.116016665399075,6.196168904155493,10.0,7.97387253075838,2.2301850527524945,9.29236287266016,1.5459250104427338,4.014359959885478,1.5563995784521103,8.539904407262803,3.8771888048946854,5.948843667507171,2.0120459663867947,4.927278064144775,3.1714307701587674,0.01,10.0,4.329165580868721,10.0,6.566665438115597,10.0,6.579057058691978,7.950442152917385,2.106564488112926,10.0,0.5044858312606811,5.288664420954883,10.0,2.587451720833778,0.01,7.0183173958957195,5.758528117612004,6.356293109059334,10.0,0.01,2.023159154951572,2.1822527840733525,2.5683394004404545,5.83003121599555
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.886654230952263,0.01,10.0,6.846006107628345,4.1715346012264485,0.01,10.0,4.341818976327777,5.942787564769387,9.705444679558276,2.9604449783265587,5.035328077615704,10.0,6.907512412518263,4.488692883960902,6.910238235592842,7.222280892282725,5.952051582112908,0.01,6.295133802890778,8.237963120043277,8.638587211370469,5.776564533561468,3.8766444143652916,7.4058631634712215,10.0,0.01,4.641758061572909,0.01,5.701411696374416,2.5393929189443587,7.752235471010208,0.8429568096995353,9.054264586567879,3.4955939686298367,10.0,2.326365774273872,9.639960319399833,4.40904473118484,1.9973472732305528,0.5299806356430053,10.0,0.01,0.01,3.912383421882987,6.784139406383037,10.0,8.320963249206542,10.0,6.770604818761349,8.899975051283837,8.457397608757018,7.4152897387743,5.467355848625302,5.326540462747216,5.789464817643165,8.270093623697758,2.5967726036906242,5.082182671781629,9.059784114062786,8.554542662203312,6.812731297165155,5.021984813325107,3.3623150496184824,10.0,0.01,6.893063957393169,3.817337703257799,0.9939636269211769,2.1986937651038168,10.0,0.01,1.4733783107995988,7.612597588300705,7.355069457888603,10.0,0.01,9.889327206611632,0.5446980854868889,3.6287543930113313,5.752627576291561,2.111762770116329,2.1638113874197002
Action Results,Dose,0.1831,0.5226,0.9924,0.2138,0.2968,0.3197,0.3649,0.3031,0.1122,0.0505,0.2588,0.0419,0.9924,0.0776,0.9571,0.3197,0.2288,0.0682,0.1225,0.1131,0.217,0.4355,0.3057,0.5791,0.0639,0.0915,0.0916,0.3952,0.0669,0.2302,0.4079,0.9924,0.4231,0.0623,0.0885,0.201,0.116,0.2108,0.1562,0.9924,0.3255,0.5496,0.0599,0.0968,0.0705,0.1049,0.0518,0.167,0.1452,0.1365,0.3278,0.4638,0.0893,0.1114,0.091,0.2508,0.1225,0.1564,0.118,0.0419,0.0713,0.205,0.0638,0.2626,0.1613,0.2959,0.0815,0.2211,0.1326,0.248,0.2296,0.2618,0.3399,0.0473,0.1761,0.0639,0.1485,0.0419,0.2511,0.08,0.3635,0.1022,0.5848,0.1037,0.1225,0.4432,0.3809,0.0936,0.0988,0.2629,0.0424,0.8553,0.3786,0.2974,0.4037,0.2026
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09681226732520759,37.093,0.03709300000000001,29.252633905153214,0.038296278846919544,37.000093,25.359009554639265,15.52767802453786,0.13,37.0464232450012,16.105213607081513,21.988406989646734,35.914193636231005,10.953739419808267,18.723713887178107,37.05692009863107,25.62588625056112,16.621570113327266,25.650518825226335,26.74932982789937,22.026771855936317,0.03709300000000001,23.29208807069588,30.562688392490447,32.02486654360585,21.411326090744485,14.413530342426956,27.4324138060953,37.03395908293142,0.03709300000000001,17.195350817504316,0.0637942565035224,21.18822327658534,9.481327261112332,28.76081226409924,3.211940195888281,33.58823893358898,12.98942094958423,37.03667894436402,8.678510329005956,35.667946181779385,16.317609665259333,7.481901878313006,2.05392835187912,37.057175433151976,0.09825801664210856,0.13,14.532697615955264,25.158940174425886,37.093,30.86172103660026,37.020740720990595,25.137656804132735,32.94428479234732,31.329704700027907,27.451046549544518,20.308637750901163,19.74425756805022,21.47634407138753,30.6180584351691,9.653882319651856,18.833570191754504,33.52129422203231,31.744807850152256,25.247367039413156,18.674343809302897,12.50163567216286,37.093,0.0981852306458354,25.578275754376858,14.143740551793307,3.770665419608355,8.139858649114846,37.04918457911488,0.13,5.47556305096227,28.16670407671261,27.279027345969663,37.05355431149379,0.0961135259142518,36.68351066446304,2.0154759163014893,13.445206634282975,21.305016983170656,7.837407805854514,8.06032142376165
Action Results,Reward,-11.885575621248872,-47.16343768606889,-89.277093,-29.838760780901055,-44.009153753824506,-58.97009299999999,-56.43781546596217,-37.51086140334384,-13.664153704042999,-29.34075155130312,-15.976812267325203,-37.093,-89.277093,-29.252633905153214,-85.74829627884691,-58.97009299999999,-38.23900955463927,-15.52767802453786,-2.379999999999999,-38.3564232450012,-27.805213607081512,-55.53840698964674,-56.48419363623101,-58.863739419808255,-18.723713887178107,-37.05692009863107,-25.62588625056112,-46.14157011332726,-25.650518825226335,-39.76932982789937,-52.81677185593631,-89.277093,-55.60208807069587,-30.562688392490447,-32.02486654360585,-31.511326090744483,-16.013530342426957,-38.512413806095296,-42.653959082931415,-89.277093,-39.74535081750432,-45.02379425650352,-21.18822327658534,-9.481327261112332,-28.76081226409924,-3.70194019588828,-33.58823893358898,-19.689420949584232,-41.556678944364016,-12.328510329005956,-58.44794618177938,-52.69760966525933,-7.481901878313006,-3.1939283518791193,-37.057175433151976,-15.178258016642111,-2.379999999999999,-20.172697615955265,-26.958940174425884,-37.093,-30.86172103660026,-47.520740720990595,-25.137656804132735,-49.204284792347316,-37.459704700027906,-47.04104654954452,-20.308637750901163,-31.854257568050215,-24.736344071387528,-45.4180584351691,-22.613882319651854,-35.013570191754496,-57.511294222032305,-31.744807850152256,-32.857367039413155,-18.674343809302897,-17.35163567216286,-37.093,-15.208185230645833,-25.578275754376858,-40.49374055179331,-3.990665419608354,-56.619858649114846,-37.41918457911488,-2.379999999999999,-39.795563050962265,-56.25670407671261,-27.279027345969663,-37.05355431149379,-16.386113525914254,-36.68351066446304,-77.54547591630148,-41.30520663428297,-41.045016983170655,-38.20740780585451,-18.320321423761648
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
