optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,thickness values,dose values,cost values,reward values
29.0,7.745492458343506,0.10873047592586621,0.108629,0.0009341513395705271,[0.24666835 0.21062826],0.9605024650884612,0.5140967436092261,-9262.29256991093
,4.3935441970825195,,,,[0.4512731 0.5033998],0.8595852361554855,1.2666327595727225,-8184.869583138691
,,,,,[0.99134874 1.2200047 ],0.5185050628393781,3.3860510891057327,-4542.970055783316
,,,,,[1.3552706 1.6714878],0.3868352442478863,4.909860060987633,-3137.765033649516
,,,,,[1.271715  1.5896956],0.4055657886661151,4.623523809399529,-3337.591351438834
,,,,,[2.014572  2.5337992],0.32199166148271186,8.171079679123698,-2448.2529331268997
,,,,,[2.3467689 2.95077  ],0.3188326117537637,9.887458560087353,-2416.2187807156824
,,,,,[2.680987  3.1745486],0.31837748368165075,10.840816082016536,-2412.309658834695
,,,,,[2.9471133 3.4195185],0.318276066628944,11.904423386986586,-2412.289750619294
,,,,,[2.914787  3.2638617],0.31829926446723134,11.227631308189917,-2411.8607986931397
,,,,,[3.5461571 3.6224155],0.3182288992522324,12.803761813263542,-2412.6851640807035
,,,,,[3.8611076 3.6925952],0.31816293474529195,13.118648783038442,-2412.295302044704
,,,,,[4.1892867 3.7101283],0.31794914436384564,13.200137028412051,-2410.0927050182154
,,,,,[4.5790434 3.6113384],0.317212986279533,12.765535147289985,-2401.7931663388813
,,,,,[4.9446864 3.679812 ],0.31500379269256196,13.073176740465836,-2378.49831234476
,,,,,[5.113507  3.5789971],0.3134989524998144,12.628088845499102,-2361.975871963174
,,,,,[5.641395 3.769173],0.29926770650913453,13.478779950092793,-2210.7833366716154
,,,,,[5.961381  3.8746336],0.2807332034517433,13.954604825463335,-2013.2409664893871
,,,,,[6.115432  3.7973027],0.2715371784871291,13.609541753946445,-1914.6477734540433
,,,,,[6.608979  4.0049033],0.21601047689377684,14.548267262265693,-1322.352507580394
,,,,,[6.9036446 4.225096 ],0.1728881649965504,15.550072743612702,-862.645852621288
,,,,,[7.1773577 4.254634 ],0.14132096845571943,15.68747451025181,-525.5268810884508
,,,,,[7.414924  4.4561343],0.12000863748688217,16.61016190982398,-298.75372480386426
,,,,,[7.4868946 4.377322 ],0.11545753255717295,16.25054000848922,-249.77118698683265
,,,,,[7.5661426 4.447416 ],0.11222757016734752,16.571869866256765,-215.58437165415765
,,,,,[7.770321  4.4509215],0.10914854382430147,16.590071168752267,-182.70699236855432
,,,,,[7.7079687 4.387014 ],0.10885476476521577,16.29716685106067,-179.27542288969067
,,,,,[7.7880197 4.3955703],0.10895250909840576,16.33712078649898,-180.3596538891246
,,,,,[7.860447  4.4500127],0.11051948902924891,16.586866653551176,-197.35063833356082
,,,,,[7.7454925 4.393544 ],0.10873047592586621,16.32740995072804,-177.97779377408494
,,,,,[7.6831737 4.369701 ],0.10915279571750161,16.217796543328127,-182.38014395253333
,,,,,[7.6497116 4.5160317],0.11115403689058959,16.886866193216186,-204.4299953661818
,,,,,[7.6762342 4.5939345],0.11330051227755175,17.244127530787164,-227.71968605163917
