optimal index,optimal thicknesses,predicted dose,actual dose,accuracy,dose constraint,thickness values,dose values,cost values,reward values
46.0,0.009999999776482582,0.12520100000616413,0.125201,4.923383013053061e-11,0.0334,[0.29746956 0.23702858 0.21685092],0.9213238422126435,0.4659376177472758,-26585.012111648994
,0.009999999776482582,,,,,[0.59863573 0.4778937  0.50202364],0.7227167591441478,0.9815828647834728,-20639.207904545856
,10.0,,,,,[0.8268201  0.71592885 0.8669671 ],0.4971905130739271,1.5514618767898227,-13887.494967084189
,,,,,,[1.1968749 1.0926073 1.3097123],0.2817292253016052,2.571542131623195,-7437.578287688666
,,,,,,[1.5807791 1.5048047 1.8698297],0.20040471889201739,3.849737850581816,-5003.991022042719
,,,,,,[1.8416637 1.7367837 2.1128657],0.19054206018390463,4.6392681758630925,-4709.491369490374
,,,,,,[2.1555254 2.0327156 2.4300742],0.18739766373137906,5.715618334349834,-4616.424113285819
,,,,,,[2.4339526 2.354762  2.6446931],0.18692682453500634,6.967390741428304,-4603.5789037655695
,,,,,,[2.6261477 2.4161339 2.932689 ],0.18686246081772587,7.218979187999773,-4601.903434808535
,,,,,,[2.6332803 2.1766222 3.0380402],0.18686732680887103,6.273489175226018,-4601.103633153401
,,,,,,[2.9996755 2.2115421 3.480872 ],0.1868441952144405,6.41688707265128,-4600.554468343326
,,,,,,[3.183437  1.9700874 3.7654965],0.186842884077525,5.506574601774082,-4599.604900276175
,,,,,,[3.3508575 1.695892  3.964191 ],0.1868425162359967,4.530810260816882,-4598.618122715808
,,,,,,[3.5125303 1.4431441 4.14871  ],0.18684234106866413,3.6910525548055393,-4597.7731204788815
,,,,,,[3.6167314 1.1799313 4.2494187],0.18684229801682747,2.878908338510394,-4596.95968728544
,,,,,,[3.4550402 0.7876441 4.160386 ],0.18684250760531068,1.789907434693017,-4595.876961485912
,,,,,,[3.6755373  0.48316044 4.468435  ],0.18684226406508866,1.060175000893608,-4595.139937428698
,,,,,,[3.9040506  0.16652447 4.55285   ],0.1868422355423846,0.40238604512247633,-4594.481294499752
,,,,,,[3.9709883 0.01      4.626087 ],0.18684222962724506,0.11650856007652521,-4594.195239914719
,,,,,,[3.274464 0.01     3.782732],0.18684538147956983,0.10221727576870165,-4594.2753154664815
,,,,,,[4.1172433 0.01      4.848566 ],0.1868422236217899,0.1199342111373447,-4594.198485761733
,,,,,,[4.0590096 0.01      4.8752737],0.18684222377656692,0.11964191641532551,-4594.198198101054
,,,,,,[4.1073885 0.01      4.9220533],0.18684222321469504,0.1205260066862408,-4594.199065368813
,,,,,,[4.1005607 0.01      5.003861 ],0.18684222286095892,0.12122338391911924,-4594.199752155145
,,,,,,[3.9739816 0.01      5.1372547],0.18684222263114234,0.12128915673255847,-4594.199811047222
