Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100,Value101,Value102,Value103,Value104,Value105,Value106,Value107,Value108,Value109,Value110,Value111,Value112,Value113,Value114,Value115,Value116,Value117,Value118,Value119,Value120,Value121,Value122,Value123,Value124,Value125,Value126,Value127,Value128,Value129,Value130,Value131,Value132,Value133,Value134,Value135,Value136,Value137,Value138,Value139,Value140,Value141,Value142,Value143,Value144,Value145,Value146,Value147,Value148,Value149,Value150,Value151,Value152,Value153,Value154,Value155,Value156,Value157,Value158,Value159,Value160,Value161,Value162,Value163,Value164,Value165,Value166,Value167,Value168,Value169,Value170,Value171,Value172,Value173,Value174,Value175,Value176,Value177,Value178,Value179,Value180,Value181,Value182,Value183,Value184,Value185,Value186,Value187,Value188,Value189,Value190,Value191,Value192,Value193,Value194,Value195,Value196,Value197,Value198,Value199,Value200
Action Results,t1,7.0883306029438975,1.9093468493223191,0.01,4.158557950630784,1.86184896171093,0.01,0.01,2.5869485652446746,8.077422844171524,9.966403497457504,6.427811614722013,10.0,0.01,7.773998290002346,0.10491300761699676,0.01,3.0485534764826294,10.0,10.0,5.012543566333479,4.366111045330762,0.01,0.33815450251102447,0.01,10.0,6.170035479217768,7.342571847140789,1.392442608177662,8.927663494944573,2.874701460301876,0.3699685242772103,0.01,0.01,8.624664985537528,6.285893156975508,3.680515854358673,7.157993834018707,2.8800614070892334,3.254696321338415,0.01,2.159602743983269,2.5029078865051266,10.0,8.867019551098346,8.039342004656792,10.0,9.177012518644332,5.595122720487415,3.5250433079898356,7.320603151172399,0.01,0.051557674407958984,9.721235726475715,10.0,5.885494592487812,6.231830875277519,10.0,5.858955591395497,5.8310079035162925,9.88160361945629,8.206213109195232,1.724718520641327,9.08761338174343,1.000172685980797,3.5866794210672377,0.9672606536746026,8.257050878107547,3.302527512311935,5.478299147747457,1.377218430042267,4.821192257795483,2.620079574435949,0.01,10.0,3.7465678276121617,10.0,6.068586138114333,10.0,6.105371203124523,7.673470482826233,2.0131805971264836,10.0,0.01,5.012935991989216,10.0,2.0801202380657196,0.01,6.769454706311226,5.231330623105168,5.917275417894125,10.0,0.01,1.8141343301534654,1.6129947572946548,2.021089369356632,5.431585952118039,10.0,0.7035005393624306,2.3535689258575436,0.01,0.01,0.01,4.541454739198088,9.629825158119202,6.905181075334549,4.1271192114800215,0.3054416483640671,0.01,1.3918537077307702,10.0,0.8838800317049027,3.112966770231724,0.01,0.01,9.185833818614483,0.01,6.7675648956000805,1.8615619546175004,7.937166883945465,10.0,7.5365142109990115,1.7200960391759872,2.731280830055475,3.84404826849699,3.707070113867521,0.01,2.5996301701664923,3.856852759495377,10.0,2.157957216799259,0.01,0.10799565434455871,1.770809954404831,0.01,3.094927302598953,0.01,8.145107989013194,0.01,2.253595185279846,0.25678501427173617,5.408339717313647,10.0,6.708372213244438,0.01,1.5481463381648064,9.073941245079041,8.135830276310443,10.0,2.547882404178381,4.879034291170537,10.0,5.403394017927348,7.75061763226986,10.0,10.0,3.1112908750772474,0.01,10.0,0.01,0.16843863368034365,0.01,3.2247210504114627,0.01,0.01,8.00209539115429,0.7070136967301369,0.01,0.01,3.6233247785270213,0.01,10.0,6.9365488070249555,6.301334376782179,1.6612021240592003,8.89131511837244,8.333883629739285,0.01,1.4077444925904274,2.483176446557045,8.139763821661472,1.5355123692750932,10.0,3.502098073363304,4.5046798712760205,0.01,0.01,10.0,9.444067557752133,7.098308416455984,0.01,6.554769827723503,10.0,10.0,4.579934828206897,7.384747152477503,7.230757128745317,6.578123541325331,0.2448545700311661,1.14807571798563,0.01
Action Results,t2,0.948555174767971,1.318980105817318,0.01,4.9792710649850775,6.559029084444046,10.0,8.092613081634045,4.633008290082216,3.3223030155897137,7.922711134552956,0.01,10.0,0.01,7.909634150564671,0.01,10.0,6.854410741180182,4.150862572938204,0.01,10.0,4.3377862884849305,5.941582745313644,9.757157760560512,2.9230387841165064,5.02757691598963,10.0,6.918410196900368,4.463302916064858,6.923581237047911,7.253021168112754,5.97114030778408,0.01,6.305605840235948,8.202236393690109,8.466218313276768,5.569459664151072,3.6440455593168735,7.224062033295631,10.0,0.01,4.603093531802297,0.01,5.569354008920491,2.2444645488262176,7.59871347129345,0.5099047276377677,8.950080713927745,3.2185829988121983,10.0,2.0830826038122177,9.685068962275983,4.288264688253403,1.8070261409878732,0.1828101268410683,10.0,0.01,0.01,3.676763028204441,6.620850233733654,10.0,8.507273129820824,10.0,6.689931858628988,8.809376379549503,8.342571846544743,7.186052498966456,5.224436684437096,4.940841349684633,5.463858880065382,8.013826359510421,2.4244772437214848,4.738605966661125,8.896025131046772,8.493222584426404,6.469479894042015,4.661806988231838,2.8995534759759902,10.0,0.01,6.726303457766771,3.756802950128913,0.514123493731022,1.771445895433426,10.0,0.01,1.0370164772868156,7.468406296372414,7.272737275213003,10.0,0.01,10.0,0.01,3.4959027096629143,5.495401004292071,1.662716949880123,1.7084591519832613,0.9561269220709802,0.4147109651565552,10.0,5.687637142241001,0.01,6.02594169229269,3.891950913518667,0.01,10.0,1.450154851973057,5.536045778803527,0.01,0.01,10.0,0.01,2.018568232357502,10.0,8.730289550423622,0.01,0.01,4.354677951037884,10.0,9.096997084617614,10.0,10.0,7.047731603682041,5.190893791038543,7.181438353806734,5.8356050039082765,7.201828957349062,6.830615352243185,7.084061074703932,7.741480445861816,10.0,0.01,8.300965345203876,6.7952762641012665,0.01,0.01,5.793428730964661,1.979437613785267,0.01,0.01,8.470678534507751,6.549588367193937,3.489177841693163,0.01,0.01,2.06603843152523,0.01,0.01,0.01,10.0,4.3767955840379,8.256060346364976,8.479777909815311,9.646808594465256,10.0,1.0502027264237404,0.01,3.55354230850935,1.5305918648838996,10.0,9.33765461653471,9.478316078484058,0.01,2.4152968871593474,9.621840168237686,10.0,0.01,10.0,9.270156145393848,3.7085627591609955,10.0,3.8976546584814784,0.01,2.69822722941637,0.01,0.01,10.0,3.5599821045994755,10.0,10.0,5.839663147255778,0.01,3.40653453618288,5.319951990135014,9.99550047904253,10.0,1.5430555349588395,6.004057178124786,0.01,0.01,10.0,0.01,8.202236393690109,1.8396830227971077,5.614687024950981,10.0,9.28287645459175,6.558184438049794,10.0,2.4559974107146263,10.0
Action Results,Dose,0.1831,0.5209,0.9924,0.213,0.2982,0.3197,0.3649,0.3073,0.1118,0.0503,0.2589,0.0419,0.9924,0.0765,0.9657,0.3197,0.2315,0.0685,0.1225,0.1124,0.2168,0.4355,0.3089,0.5826,0.0639,0.0908,0.0903,0.4013,0.0661,0.2311,0.41,0.9924,0.4227,0.0647,0.0997,0.2261,0.1266,0.2311,0.1711,0.9924,0.3315,0.5928,0.0606,0.1046,0.0753,0.112,0.0548,0.1851,0.1601,0.1487,0.3269,0.5015,0.0937,0.1182,0.0953,0.2692,0.1225,0.1672,0.1259,0.0429,0.067,0.2328,0.0649,0.2968,0.1803,0.3426,0.0871,0.26,0.1488,0.2941,0.2405,0.3025,0.344,0.0476,0.2066,0.0657,0.1754,0.0419,0.2769,0.0861,0.3721,0.1118,0.6782,0.1123,0.1225,0.5247,0.3851,0.0975,0.1047,0.2878,0.0419,0.9924,0.4,0.3463,0.4819,0.231,0.1027,0.7687,0.2008,0.4437,0.9924,0.4324,0.2167,0.1309,0.0775,0.3217,0.4305,0.9924,0.7409,0.0419,0.8148,0.3656,0.3197,0.3482,0.1468,0.9924,0.1283,0.2259,0.0678,0.0419,0.0684,0.2951,0.2811,0.191,0.22,0.3953,0.2519,0.1917,0.0504,0.2089,0.9924,0.3537,0.3003,0.9924,0.5244,0.4404,0.1253,0.9924,0.6233,0.3408,0.1367,0.0742,0.2439,0.9924,0.5008,0.1514,0.1799,0.1225,0.1951,0.191,0.0486,0.114,0.0682,0.0419,0.1015,0.5226,0.5448,0.0937,0.3197,0.3241,0.3305,0.5101,0.6172,0.328,0.0638,0.8435,0.3197,0.3349,0.2758,0.3197,0.0711,0.2333,0.1699,0.7024,0.1554,0.0611,0.5448,0.2538,0.1975,0.084,0.7202,0.0748,0.2417,0.1264,0.3197,0.7035,0.0584,0.1365,0.2254,0.3197,0.2521,0.0488,0.0884,0.1812,0.0701,0.076,0.1093,0.3079,0.5166,0.3197
Action Results,Cost,3.575575621248871,4.897983317222774,0.03709300000000001,18.461977529385656,24.285722807786883,37.000093,29.94276140204597,17.166189294960976,12.367641190132737,29.406718750372292,0.09677864801691471,37.093,0.03709300000000001,29.337944541186303,0.037975690970838076,37.000093,25.38967128969796,15.451191519871355,0.13,37.0466166551669,16.090414100115822,21.983949157660483,36.10462855094725,10.815336501231075,18.69503458916163,37.057381329956726,25.666403646709774,16.52717050569603,25.700277847580256,26.862913045598003,22.096659846076875,0.03709300000000001,23.33083460887301,30.428484041018905,31.383466565483914,20.641229554804504,13.549537912128807,26.755814094279767,37.03026867578845,0.03709300000000001,17.051530373187543,0.06027704334449768,20.699609833005816,8.38698211248222,28.190005724429074,1.9796474922597407,33.20064485795605,11.960791736905668,37.0327829027643,7.775487243411108,35.83484816042114,15.867058832909583,6.776404213911356,0.7693974693119526,37.054735099710136,0.09495602714008093,0.13,13.65851149135641,24.551374238317223,37.09189891366094,31.553228362252568,37.01603988224196,24.83726268137747,32.603994210312784,30.900871950831476,26.597389770255063,19.407206305583657,18.311826499697645,20.267226038315965,29.66396566158795,9.015402889766992,17.55720881668842,32.915385984873055,31.517923562377696,23.97191868875225,17.3416858564578,10.784785712195628,37.093,0.09377995218905807,24.958686069227337,13.918893495030256,1.9952569268047813,6.554442813103676,37.0466203047255,0.13,3.8563060841752286,27.633196296577932,26.972083847056805,37.04865137479488,0.09203066138641536,37.093,0.03709300000000001,12.951711475023211,20.3479845671235,6.170848845691473,6.371812611692765,3.630669611662627,1.540973126095325,37.021888191010476,21.044350426291704,0.03709300000000001,22.296077261482957,14.442453909093611,0.1265573739705086,37.06421818400061,5.403955160967075,20.48620998890284,0.03709300000000001,0.04994423948189616,37.093,0.0452200842948556,7.497653050685912,37.000093,32.3021643365674,0.12242825451311469,0.03709300000000001,16.175246772369253,37.017312526177946,33.732704865105866,37.093,37.07008958216229,26.09260382678789,19.231707938562124,26.60707155798194,21.62621426651959,26.64686014219153,25.297453363882333,26.246894707067856,28.73647764968872,37.02006900211623,0.03709300000000001,30.714576136839746,25.15899070975065,0.03709300000000001,0.06578282391417027,21.435779304569245,7.399668675303311,0.03709300000000001,0.05795843522310257,31.34389867831141,24.283774517988586,13.002958014264703,0.09938786158317328,0.03709300000000001,7.658739957588284,0.12138765357923507,0.11266322156968712,0.13,37.02369530635886,16.239518679848118,30.64042328155041,31.425429830683377,35.76527254350156,37.093,3.9787500877678394,0.0659350051382184,13.148199541484594,5.756189900070429,37.000093,34.550888560471655,35.06986249039102,0.0669899057688266,8.936691482489586,35.60090162247944,37.07441948713773,0.04357522737959028,37.000093,34.29967073795724,13.755379129335985,37.000093,14.51432223638147,0.10150990390533209,10.042043158544644,0.05244917975375057,0.11968923060086369,37.07750511775657,13.17202678701806,37.01309202378109,37.02309354095298,21.68245344838783,0.05128026503425837,12.697177783876656,19.71639187558183,37.02524529526023,37.000093,5.709398479347706,22.308011559061708,0.12482982828709484,0.10301426827304065,37.000093,0.09795935939782857,30.441274656653405,6.899827184349299,20.81693538622095,37.06867814851804,34.41388892328681,24.326458969718566,37.00227714750129,9.097867523821385,37.000093
Action Results,Reward,-11.885575621248872,-46.98798331722278,-89.277093,-29.761977529385653,-44.10572280778688,-58.97009299999999,-56.43276140204597,-37.896189294960976,-13.547641190132737,-29.406718750372292,-15.986778648016916,-37.093,-89.277093,-29.337944541186303,-86.60797569097083,-58.97009299999999,-38.539671289697964,-15.451191519871355,-2.379999999999999,-38.2866166551669,-27.770414100115822,-55.53394915766049,-56.99462855094724,-59.07533650123108,-18.69503458916163,-37.057381329956726,-25.666403646709774,-46.65717050569603,-25.700277847580256,-39.972913045598006,-53.096659846076875,-89.277093,-55.600834608873,-30.428484041018905,-31.383466565483914,-33.2512295548045,-16.209537912128805,-39.86581409427977,-44.14026867578845,-89.277093,-40.20153037318754,-49.34027704334449,-20.699609833005816,-8.84698211248222,-28.190005724429074,-3.17964749225974,-33.20064485795605,-20.470791736905664,-43.0427829027643,-12.645487243411107,-58.52484816042114,-56.017058832909576,-6.776404213911356,-2.589397469311952,-37.054735099710136,-17.01495602714008,-2.379999999999999,-20.37851149135641,-27.141374238317223,-37.09189891366094,-31.553228362252568,-50.29603988224196,-24.83726268137747,-52.283994210312784,-38.930871950831474,-50.85738977025507,-19.407206305583657,-34.311826499697645,-25.147226038315964,-49.07396566158795,-23.06540288976699,-37.807208816688416,-57.315385984873046,-31.517923562377696,-34.63191868875225,-17.3416858564578,-18.324785712195627,-37.093,-17.783779952189054,-24.958686069227337,-41.128893495030255,-3.1752569268047806,-64.37444281310367,-38.2766203047255,-2.379999999999999,-46.326306084175236,-56.143196296577926,-26.972083847056805,-37.51865137479488,-18.872030661386415,-37.093,-89.277093,-42.95171147502322,-44.9779845671235,-44.36084884569147,-19.471812611692766,-3.9006696116626265,-68.41097312609533,-47.101888191010474,-55.414350426291705,-89.277093,-55.53607726148296,-26.11245390909361,-3.216557373970507,-37.06421818400061,-27.57395516096707,-53.53620998890284,-89.277093,-64.1399442394819,-37.093,-71.52522008429484,-34.05765305068591,-58.97009299999999,-57.1221643365674,-4.802428254513115,-89.277093,-19.00524677236925,-49.60731252617794,-33.732704865105866,-37.093,-37.07008958216229,-45.602603826787885,-37.341707938562124,-35.70707155798193,-33.62621426651959,-56.17686014219153,-40.48745336388234,-35.416894707067854,-28.73647764968872,-47.91006900211623,-89.277093,-56.08457613683974,-45.188990709750655,-89.277093,-42.50578282391417,-55.475779304569244,-9.92966867530331,-89.277093,-52.38795843522309,-55.42389867831141,-27.953774517988585,-13.002958014264703,-14.489387861583173,-89.277093,-47.73873995758829,-5.261387653579234,-8.102663221569687,-2.379999999999999,-46.53369530635886,-25.339518679848116,-30.64042328155041,-32.825429830683376,-35.76527254350156,-37.093,-4.128750087767839,-42.32593500513822,-57.628199541484584,-5.756189900070429,-58.97009299999999,-56.96088856047166,-58.119862490391014,-41.076989905768826,-60.65669148248958,-58.40090162247944,-37.07441948713773,-74.39357522737959,-58.97009299999999,-57.78967073795724,-31.335379129335983,-58.97009299999999,-14.51432223638147,-13.431509903905331,-17.032043158544642,-60.29244917975376,-5.659689230600864,-37.07750511775657,-57.65202678701805,-52.393092023781094,-46.77309354095298,-21.68245344838783,-62.071280265034254,-12.697177783876656,-33.88639187558183,-39.66524529526023,-58.97009299999999,-66.0593984793477,-22.308011559061708,-3.7748298282870953,-12.643014268273038,-58.97009299999999,-15.307959359397827,-30.441274656653405,-6.899827184349299,-28.936935386220952,-37.06867814851804,-34.41388892328681,-25.256458969718565,-57.79227714750129,-50.757867523821375,-58.97009299999999
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
