Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20,Value21,Value22,Value23,Value24,Value25,Value26,Value27,Value28,Value29,Value30,Value31,Value32,Value33,Value34,Value35,Value36,Value37,Value38,Value39,Value40,Value41,Value42,Value43,Value44,Value45,Value46,Value47,Value48,Value49,Value50,Value51,Value52,Value53,Value54,Value55,Value56,Value57,Value58,Value59,Value60,Value61,Value62,Value63,Value64,Value65,Value66,Value67,Value68,Value69,Value70,Value71,Value72,Value73,Value74,Value75,Value76,Value77,Value78,Value79,Value80,Value81,Value82,Value83,Value84,Value85,Value86,Value87,Value88,Value89,Value90,Value91,Value92,Value93,Value94,Value95,Value96,Value97,Value98,Value99,Value100
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.429128899872303,10.0,0.01,7.743872667849064,0.1482888898253441,0.01,3.0979663325846194,10.0,10.0,5.001802644171985,4.3544842063635585,0.01,0.45032128095626833,0.01,10.0,6.157284653186798,7.351882011890411,1.475535627603531,8.909008629322052,2.9269668215513227,0.43563658088445667,0.01,0.01,8.643507715761661,6.327025679796934,3.763225478157401,7.200819966644048,2.9666751758754253,3.3709243692457673,0.01,2.2123837652802467,2.634610201716423,10.0,8.865549979507923,8.030744891762733,10.0,9.130709997713566,5.669081121385098,3.6330370211601255,7.373949552625418,0.01,0.28899084240198136,9.688162327110767,10.0,5.89689493700862,6.315486744195223,10.0,5.880429840236902,5.891665691584349,9.827892206907272,8.06219449788332,1.9521862307190896,9.095196740329266,1.2567233845591546,3.7658201532810924,1.2444847947359086,8.269298697412014,3.4589636462926863,5.580821490474045,1.6207769963145255,4.841690786723047,2.8024576960504053,0.01,10.0,3.9296860940754414,10.0,6.150140439271927,10.0,6.1820290412008765,7.625677549540996,2.1185166662931443,10.0,0.18095559656620028,5.12146421842277,10.0,2.285044195950031,0.01,6.844982826113701,5.392930019162595,6.043659244552255,10.0,0.01,1.9844146859645844,1.9376917770504951,2.3330604231357572,5.5427697535976765,10.0,1.0252765771746635,2.5610324797034263,0.01
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.887022814750671,0.01,10.0,6.850350662618875,4.178445919603109,0.01,10.0,4.344201224520803,5.963741538822651,9.7149826040864,2.9736854134500024,5.043835572898388,10.0,6.926743078678847,4.5114125917479395,6.924598564058543,7.245022036284208,5.944819539263844,0.01,6.287090310007334,8.17589575201273,8.460186698436736,5.609889518283308,3.7197794072329997,7.224768832921982,10.0,0.01,4.613881939388811,0.01,5.590074603632092,2.353408154249191,7.586797913312912,0.6614105322957039,8.902923721671105,3.31847188770771,10.0,2.2039304536581037,9.59563737332821,4.349827635362744,1.9318188497424127,0.36899972647428514,10.0,0.01,0.01,3.771812021806836,6.634159741103649,10.0,8.352597742676735,10.0,6.709832406491041,8.769703305661679,8.294248664677143,7.199524862021208,5.292161370906979,5.036908144797199,5.543591214641928,8.001487734019756,2.5425812581181524,4.848420101962984,8.85485301077366,8.437543803751469,6.537515461444855,4.794066235646605,3.087514987140894,10.0,0.01,6.731783090084791,3.8070435567200183,0.8031045052409173,2.0006987658143043,10.0,0.01,1.300220143198967,7.442862813919783,7.2418719547986985,9.910608306229115,0.01,9.831260669827461,0.2733983781933785,3.584170490801334,5.580933584012091,1.9304115027189255,1.9744492280483246,1.2687413600087165,0.7516275203227997,10.0,5.758508839905262
Action Results,Dose,0.18804,0.52434,0.99233,0.21373,0.29778,0.31887,0.36304,0.30575,0.11214,0.05189,0.26067,0.04426,0.99233,0.07914,0.95671,0.31887,0.2271,0.0708,0.12509,0.11853,0.21762,0.43165,0.3045,0.58473,0.06518,0.0931,0.09145,0.387,0.06806,0.228,0.40518,0.99233,0.41971,0.06456,0.10107,0.219,0.12764,0.22647,0.16774,0.99233,0.33237,0.57803,0.06194,0.10741,0.07608,0.11093,0.05604,0.186,0.15885,0.14717,0.32718,0.48141,0.09708,0.11636,0.09813,0.26777,0.12509,0.16887,0.12756,0.04527,0.07101,0.22609,0.06664,0.28183,0.17488,0.3182,0.08858,0.24716,0.15004,0.27967,0.24119,0.29034,0.34373,0.04947,0.19439,0.06679,0.17274,0.04426,0.27551,0.08838,0.36695,0.10817,0.64508,0.11514,0.12509,0.48753,0.38196,0.09897,0.10898,0.28379,0.0449,0.91742,0.38623,0.32069,0.44062,0.22402,0.10068,0.67869,0.19991,0.43933
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09679089876881242,37.093,0.03709300000000001,29.254002430388482,0.038379086675375707,37.000093,25.375108538582875,15.553249902531505,0.13,37.0465167645908,16.11404123384615,22.06593669364381,35.94962362303257,11.002729029765009,18.755191619724037,37.057262747274635,25.697321893822316,16.705949070804092,25.703868467269302,26.833802325691998,21.999883715478447,0.03709300000000001,23.262327147027136,30.331198904203685,31.36153212303804,20.791589214595103,13.83015143245189,26.759234760946978,37.03134959663399,0.03709300000000001,17.09193834475571,0.06150187487596274,20.77627603343874,8.790059785531431,28.145838206751172,2.5402189694941044,33.02573337316183,12.33106843894741,37.03378724429679,8.2231204093744,35.50395128131438,16.097049865676492,7.237829653689057,1.4582989879548551,37.05484112291418,0.09573402672101558,0.13,14.010392478199497,24.601183533015238,37.091399397524235,30.97959005673424,37.018155331945685,24.910965233701916,32.45958975842461,30.723742186730945,26.649815698069514,19.657901550241757,18.668728497660158,20.563189134036545,29.62057784193882,9.452578379353689,17.96521723383631,32.763049139862545,31.311912073880436,24.225353288020866,17.83104507189244,11.481001758506538,37.093,0.09449287008316815,24.97851623452446,14.105763364860595,3.064486669391394,7.404268320560992,37.04762961723133,0.13,4.832065440858513,27.5386854115032,26.85858457303804,36.71940498222594,0.09320603097433597,36.46866447836161,1.0116669993155003,13.279885872544408,20.66747479437131,7.164220021995187,7.35700990248726,4.787343032032251,2.7905568973620833,37.02381760206124,21.30657570764947
Action Results,Reward,-1003.5755756212488,-1004.9034376860689,-1000.037093,-1018.458760780901,-1024.3291537538246,-1037.000093,-1029.947815465962,-1017.2008614033439,-1012.444153704043,-29.34075155130312,-1000.0967908987689,-37.093,-1000.037093,-29.254002430388482,-1000.0383790866754,-1037.000093,-1025.375108538583,-15.553249902531505,-1000.13,-1037.0465167645907,-1016.1140412338461,-1022.0659366936438,-1035.9496236230325,-1011.002729029765,-18.755191619724037,-37.057262747274635,-25.697321893822316,-1016.7059490708041,-25.703868467269302,-1026.833802325692,-1021.9998837154784,-1000.037093,-1023.2623271470271,-30.331198904203685,-1031.361532123038,-1020.7915892145951,-1013.8301514324519,-1026.759234760947,-1037.031349596634,-1000.037093,-1017.0919383447557,-1000.061501874876,-20.77627603343874,-1008.7900597855314,-28.145838206751172,-1002.540218969494,-33.02573337316183,-1012.3310684389475,-1037.0337872442967,-1008.2231204093744,-1035.5039512813144,-1016.0970498656765,-7.237829653689057,-1001.4582989879549,-37.05484112291418,-1000.0957340267211,-1000.13,-1014.0103924781995,-1024.6011835330153,-37.091399397524235,-30.97959005673424,-1037.0181553319458,-24.910965233701916,-1032.4595897584245,-1030.723742186731,-1026.6498156980695,-19.657901550241757,-1018.6687284976601,-1020.5631891340365,-1029.6205778419387,-1009.4525783793537,-1017.9652172338363,-1032.7630491398625,-31.311912073880436,-1024.2253532880209,-17.83104507189244,-1011.4810017585065,-37.093,-1000.0944928700832,-24.97851623452446,-1014.1057633648606,-1003.0644866693914,-1007.404268320561,-1037.0476296172312,-1000.13,-1004.8320654408585,-1027.5386854115031,-26.85858457303804,-1036.719404982226,-1000.0932060309743,-36.46866447836161,-1001.0116669993155,-1013.2798858725444,-1020.6674747943713,-1007.1642200219952,-1007.3570099024872,-1004.7873430320323,-1002.7905568973621,-1037.0238176020612,-1021.3065757076495
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
