Catergory,Key,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
Action Results,t1,7.0883306029438975,1.8821496522426606,0.01,4.149164720550179,1.8743965902924538,0.01,0.01,2.6379022981226443,8.074741233289242,9.926487182080745,6.429128899872303,10.0,0.01,7.743872667849064,0.1482888898253441,0.01,3.0979663325846194,10.0,10.0,5.001802644171985
Action Results,t2,0.948555174767971,1.3205226200819016,0.01,4.978425283513498,6.570735639333725,10.0,8.09397904485464,4.642251057289541,3.342988813668489,7.904982492029667,0.01,10.0,0.01,7.887022814750671,0.01,10.0,6.850350662618875,4.178445919603109,0.01,10.0
Action Results,Dose,0.18804,0.52434,0.99233,0.21373,0.29778,0.31887,0.36304,0.30575,0.11214,0.05189,0.26067,0.04426,0.99233,0.07914,0.95671,0.31887,0.2271,0.0708,0.12509,0.11853
Action Results,Cost,3.575575621248871,4.903437686068893,0.03709300000000001,18.458760780901056,24.329153753824503,37.000093,29.94781546596217,17.200861403343843,12.444153704043,29.34075155130312,0.09679089876881242,37.093,0.03709300000000001,29.254002430388482,0.038379086675375707,37.000093,25.375108538582875,15.553249902531505,0.13,37.0465167645908
Action Results,Reward,-1003.5755756212488,-1004.9034376860689,-1000.037093,-1018.458760780901,-1024.3291537538246,-1037.000093,-1029.947815465962,-1017.2008614033439,-1012.444153704043,-29.34075155130312,-1000.0967908987689,-37.093,-1000.037093,-29.254002430388482,-1000.0383790866754,-1037.000093,-1025.375108538583,-15.553249902531505,-1000.13,-1037.0465167645907
OpenMC Specs,Dose Constriant,0.1,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layers,water,ss-316L,,,,,,,,,,,,,,,,,,
OpenMC Specs,Layer Bounds,0.01<=x<=10.0,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Name,fast neutron current,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Tally Units,particle/source/cm2,,,,,,,,,,,,,,,,,,,
OpenMC Specs,NPS,1e4,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Batches,10,,,,,,,,,,,,,,,,,,,
OpenMC Specs,Source Type,surface source,,,,,,,,,,,,,,,,,,,
PPO Specs,Pentaly Weighting,">limit=1000, <limit=0",,,,,,,,,,,,,,,,,,,
PPO Specs,actions,20,,,,,,,,,,,,,,,,,,,
PPO Specs,total_timesteps,20,,,,,,,,,,,,,,,,,,,
PPO Specs,n_steps,10,,,,,,,,,,,,,,,,,,,
PPO Specs,nminibatches,1,,,,,,,,,,,,,,,,,,,
PPO Specs,episode_length,10,,,,,,,,,,,,,,,,,,,
PPO Specs,mode,max,,,,,,,,,,,,,,,,,,,
PPO Specs,policy,MlpPolicy,,,,,,,,,,,,,,,,,,,
PPO Specs,check_freq,1,,,,,,,,,,,,,,,,,,,
PPO Specs,seed,1,,,,,,,,,,,,,,,,,,,
